table2_id;table2A;table2B;table2C;table2D;table2E
0;382;334;390;258;775
1;869;461;126;269;521
2;945;312;819;178;72
3;645;482;482;656;58
4;422;372;164;774;686
5;926;689;747;679;346
6;685;287;258;896;893
7;909;374;640;885;58
8;803;352;290;272;576
9;765;289;665;312;372
10;108;130;571;214;763
11;151;605;450;442;924
12;179;136;809;551;856
13;131;468;191;503;654
14;999;329;728;411;609
15;792;725;530;200;863
16;769;93;877;629;609
17;690;421;341;346;64
18;318;919;497;10;909
19;728;760;19;412;168
20;326;630;757;563;106
21;109;761;179;815;457
22;542;631;830;381;195
23;169;668;128;52;449
24;523;429;347;447;249
25;781;850;986;215;963
26;258;904;47;109;716
27;667;133;989;440;414
28;264;622;474;69;883
29;517;686;595;356;167
30;521;135;535;186;811
31;285;15;907;560;518
32;27;945;100;861;69
33;123;787;608;919;374
34;967;699;183;586;763
35;921;787;286;106;849
36;956;919;119;199;707
37;228;794;284;953;99
38;264;87;807;499;505
39;108;361;711;418;731
40;187;888;449;983;122
41;88;999;202;626;180
42;970;116;906;501;989
43;299;434;88;586;591
44;804;875;382;387;386
45;608;624;806;304;21
46;736;925;715;746;385
47;864;274;789;944;367
48;896;912;813;202;868
49;690;396;123;487;598
50;949;11;203;440;295
51;364;723;478;639;664
52;114;15;870;422;783
53;604;901;876;943;818
54;448;728;678;550;848
55;502;154;662;435;961
56;359;865;571;166;4
57;636;450;289;351;163
58;950;597;367;88;388
59;399;735;952;327;80
60;430;677;712;933;841
61;240;877;170;114;913
62;305;175;105;894;99
63;244;777;510;717;806
64;434;152;800;979;94
65;42;349;41;625;620
66;221;116;636;392;973
67;305;53;375;774;344
68;61;229;264;193;717
69;54;453;153;460;613
70;260;773;826;137;996
71;74;343;821;874;830
72;120;413;696;475;281
73;110;347;27;387;271
74;847;380;56;809;278
75;829;515;482;219;615
76;869;409;652;746;133
77;710;782;201;447;684
78;673;54;342;766;416
79;316;345;107;202;352
80;936;613;988;32;12
81;805;131;335;812;751
82;89;593;557;361;26
83;828;271;803;825;912
84;782;507;53;710;861
85;24;119;872;657;401
86;574;901;568;825;507
87;876;294;226;131;862
88;727;32;592;320;19
89;241;689;842;857;157
90;56;268;990;637;842
91;335;744;248;671;167
92;159;390;582;333;377
93;372;863;643;588;207
94;771;486;659;641;157
95;845;164;237;585;936
96;352;881;917;826;670
97;225;969;85;388;358
98;731;24;983;891;947
